label 1025, frequency 182
label 1026, frequency 97
label 1029, frequency 474
label 1030, frequency 4
label 1031, frequency 46
label 1033, frequency 310
label 1037, frequency 63
label 1043, frequency 200
label 1045, frequency 810
label 1046, frequency 779
label 1047, frequency 28
label 1050, frequency 5
label 1051, frequency 28
label 1052, frequency 14
label 1053, frequency 139
label 1056, frequency 24
label 1058, frequency 95
label 1068, frequency 5
label 1072, frequency 93
label 1074, frequency 27
label 1075, frequency 30
label 1076, frequency 115
label 1079, frequency 55
label 1084, frequency 28
label 1086, frequency 4
label 1087, frequency 89
label 1089, frequency 27
label 1090, frequency 9
label 1091, frequency 69
label 1093, frequency 8
label 1100, frequency 4
label 1101, frequency 5
label 1103, frequency 97
label 1106, frequency 3110
label 1108, frequency 27
label 1109, frequency 94
label 1120, frequency 45
label 1123, frequency 23
label 1124, frequency 164
label 1126, frequency 15
label 1128, frequency 229
label 1130, frequency 25
label 1134, frequency 14
label 1135, frequency 306
label 1136, frequency 48
label 1137, frequency 151
label 1139, frequency 57
label 1140, frequency 27
label 1141, frequency 231
label 1142, frequency 83
label 1143, frequency 5
label 1146, frequency 602
label 1148, frequency 10
label 1151, frequency 16
label 1152, frequency 29
label 1154, frequency 41
label 1156, frequency 16
label 1158, frequency 17
label 1161, frequency 3838
label 1162, frequency 1153
label 1165, frequency 53
label 1166, frequency 83
label 1167, frequency 11
label 1168, frequency 3
label 1172, frequency 1603
label 1175, frequency 53
label 1177, frequency 41
label 1178, frequency 416
label 1180, frequency 126
label 1181, frequency 25
label 1182, frequency 7
label 1183, frequency 5
label 1186, frequency 25
label 1187, frequency 5
label 1189, frequency 163
label 1195, frequency 57
label 1198, frequency 795
label 1199, frequency 32
label 1200, frequency 87
label 1201, frequency 4
label 1202, frequency 109
label 1203, frequency 39
label 1205, frequency 4
label 1207, frequency 573
label 1208, frequency 5
label 1210, frequency 89
label 1211, frequency 13
label 1214, frequency 8
label 1224, frequency 12
label 1233, frequency 560
label 1234, frequency 22
label 1235, frequency 162
label 1240, frequency 36
label 1241, frequency 30
label 1242, frequency 3
label 1243, frequency 12
label 1244, frequency 227
label 1247, frequency 18
label 1249, frequency 60
label 1250, frequency 5
label 1251, frequency 15
label 1252, frequency 20
label 1253, frequency 3
label 1257, frequency 8
label 1258, frequency 22
label 1259, frequency 27
label 1262, frequency 181
label 1264, frequency 16
label 1267, frequency 7
label 1268, frequency 157
label 1269, frequency 56
